Conta:;11392 - 2.1.1.01.001 - A 2 F INDUSTRIA FARMACEUTICA LTDA;;;;;
10/04/2024;NOTA FISCAL Nº 3810138 ;3152;0424-00000434;;114,21;60.733,13C
10/04/2024;NOTA FISCAL Nº 3811079 ;3152;0424-00000435;;84,63;60.817,76C
10/04/2024;NOTA FISCAL Nº 3811080 ;3152;0424-00000436;;106,96;60.924,72C
10/04/2024;NOTA FISCAL Nº 3811117 ;3152;0424-00000437;;76,59;61.001,31C
10/04/2024;NOTA FISCAL Nº 3811120 ;3152;0424-00000438;;72,72;61.074,03C
10/04/2024;NOTA FISCAL Nº 3811119 ;3152;0424-00000439;;42,55;61.116,58C
10/04/2024;NOTA FISCAL Nº 3811121 ;3152;0424-00000440;;368,68;61.485,26C
10/04/2024;NOTA FISCAL Nº 3811122 ;3152;0424-00000441;;332,59;61.817,85C
10/04/2024;NOTA FISCAL Nº 3811118 ;3152;0424-00000442;;656,05;62.473,90C
10/04/2024;NOTA FISCAL Nº 3809534 ;5782;0424-00001229;;125,78;62.599,68C
10/04/2024;NOTA FISCAL Nº 3811048 ;5782;0424-00001241;;42,98;62.642,66C
10/04/2024;NOTA FISCAL Nº 3812369 ;5782;0424-00001242;;736,36;63.379,02C
10/04/2024;NOTA FISCAL Nº 3812378 ;5782;0424-00001261;;57,44;63.436,46C
10/04/2024;NOTA FISCAL Nº 3809492 ;5782;0424-00001279;;244,16;63.680,62C
10/04/2024;NOTA FISCAL Nº 3812377 ;5782;0424-00001280;;546,94;64.227,56C
10/04/2024;NOTA FISCAL Nº 3812376 ;5782;0424-00001282;;96,52;64.324,08C
10/04/2024;NOTA FISCAL Nº 3812379 ;5782;0424-00001285;;262,05;64.586,13C
10/04/2024;NOTA FISCAL Nº 3812424 ;5782;0424-00001288;;197,68;64.783,81C
10/04/2024;NOTA FISCAL Nº 3812371 ;5782;0424-00001301;;1.379,88;66.163,69C
10/04/2024;NOTA FISCAL Nº 3812428 ;5782;0424-00001312;;847,42;67.011,11C
10/04/2024;NOTA FISCAL Nº 3812368 ;5782;0424-00001317;;85,33;67.096,44C
10/04/2024;NOTA FISCAL Nº 3810647 ;5782;0424-00001327;;1.051,79;68.148,23C
10/04/2024;NOTA FISCAL Nº 3812429 ;5782;0424-00001329;;897,47;69.045,70C
10/04/2024;NOTA FISCAL Nº 3810468 ;5782;0424-00001352;;142,44;69.188,14C
10/04/2024;NOTA FISCAL Nº 3812372 ;5782;0424-00001363;;221,35;69.409,49C
10/04/2024;NOTA FISCAL Nº 3812375 ;5782;0424-00001365;;376,61;69.786,10C
10/04/2024;NOTA FISCAL Nº 3810646 ;5782;0424-00001373;;392,06;70.178,16C
10/04/2024;PAGAMENTO DUPLICATA Nº 3774836 ; ;0424-00004335;12,91;;70.165,25C
10/04/2024;PAGAMENTO DUPLICATA Nº 3774835 ; ;0424-00004355;30,23;;70.135,02C
10/04/2024;PAGAMENTO DUPLICATA Nº 3774834 ; ;0424-00004396;147,19;;69.987,83C
10/04/2024;PAGAMENTO DUPLICATA Nº 3774900 ; ;0424-00004403;99,87;;69.887,96C
10/04/2024;PAGAMENTO DUPLICATA Nº 3775281 ; ;0424-00004452;358,17;;69.529,79C
10/04/2024;PAGAMENTO DUPLICATA Nº 3775280 ; ;0424-00004471;749,14;;68.780,65C
11/04/2024;NOTA FISCAL Nº 3813026 ;3152;0424-00000443;;120,51;68.901,16C
11/04/2024;NOTA FISCAL Nº 3813168 ;5782;0424-00001234;;231,72;69.132,88C
11/04/2024;NOTA FISCAL Nº 3813108 ;5782;0424-00001259;;97,52;69.230,40C
11/04/2024;NOTA FISCAL Nº 3813169 ;5782;0424-00001264;;532,23;69.762,63C
11/04/2024;NOTA FISCAL Nº 3813021 ;5782;0424-00001335;;236,5;69.999,13C
11/04/2024;PAGAMENTO DUPLICATA Nº 3706291 ; ;0424-00004336;12,91;;69.986,22C
11/04/2024;PAGAMENTO DUPLICATA Nº 3778050 ; ;0424-00004337;12,91;;69.973,31C
11/04/2024;PAGAMENTO DUPLICATA Nº 3776778 ; ;0424-00004353;26,16;;69.947,15C
11/04/2024;PAGAMENTO DUPLICATA Nº 3778047 ; ;0424-00004357;125,07;;69.822,08C
11/04/2024;PAGAMENTO DUPLICATA Nº 3778079 ; ;0424-00004368;46,55;;69.775,53C
11/04/2024;PAGAMENTO DUPLICATA Nº 3776725 ; ;0424-00004384;65,75;;69.709,78C
11/04/2024;PAGAMENTO DUPLICATA Nº 3776751 ; ;0424-00004387;115,09;;69.594,69C
11/04/2024;PAGAMENTO DUPLICATA Nº 3778099 ; ;0424-00004388;72,44;;69.522,25C
11/04/2024;PAGAMENTO DUPLICATA Nº 3778100 ; ;0424-00004390;121,12;;69.401,13C
11/04/2024;PAGAMENTO DUPLICATA Nº 3776739 ; ;0424-00004397;93,1;;69.308,03C
11/04/2024;PAGAMENTO DUPLICATA Nº 3776827 ; ;0424-00004409;116,1;;69.191,93C
11/04/2024;PAGAMENTO DUPLICATA Nº 3776835 ; ;0424-00004433;223,55;;68.968,38C
11/04/2024;PAGAMENTO DUPLICATA Nº 3776738 ; ;0424-00004444;272,46;;68.695,92C
11/04/2024;PAGAMENTO DUPLICATA Nº 3776724 ; ;0424-00004445;275,95;;68.419,97C
11/04/2024;PAGAMENTO DUPLICATA Nº 3777877 ; ;0424-00004938;3,86;;68.416,11C
11/04/2024;PAGAMENTO DUPLICATA Nº 3778049 ; ;0424-00004939;11,02;;68.405,09C
11/04/2024;PAGAMENTO DUPLICATA Nº 3776826 ; ;0424-00004940;20,9;;68.384,19C
11/04/2024;PAGAMENTO DUPLICATA Nº 3776817 ; ;0424-00004941;21,28;;68.362,91C
11/04/2024;PAGAMENTO DUPLICATA Nº 3777873 ; ;0424-00004942;29,41;;68.333,50C
11/04/2024;PAGAMENTO DUPLICATA Nº 3777294 ; ;0424-00004943;31,69;;68.301,81C
11/04/2024;PAGAMENTO DUPLICATA Nº 3776819 ; ;0424-00004944;61,09;;68.240,72C
11/04/2024;PAGAMENTO DUPLICATA Nº 3777880 ; ;0424-00004945;78,87;;68.161,85C
11/04/2024;PAGAMENTO DUPLICATA Nº 3776810 ; ;0424-00004946;152,93;;68.008,92C
11/04/2024;PAGAMENTO DUPLICATA Nº 3776712 ; ;0424-00004947;267,96;;67.740,96C
11/04/2024;PAGAMENTO DUPLICATA Nº 3776816 ; ;0424-00004948;495,43;;67.245,53C
11/04/2024;PAGAMENTO DUPLICATA Nº 3776814 ; ;0424-00004949;511,55;;66.733,98C
11/04/2024;PAGAMENTO DUPLICATA Nº 3777292 ; ;0424-00004950;682,83;;66.051,15C
11/04/2024;PAGAMENTO DUPLICATA Nº 3777872 ; ;0424-00004952;1.049,33;;65.001,82C
12/04/2024;NOTA FISCAL Nº 3814777 ;3152;0424-00000444;;105,79;65.107,61C
12/04/2024;NOTA FISCAL Nº 3814671 ;3152;0424-00000445;;153,85;65.261,46C
12/04/2024;NOTA FISCAL Nº 3815878 ;3152;0424-00000446;;258,73;65.520,19C
12/04/2024;NOTA FISCAL Nº 3815879 ;3152;0424-00000447;;57,36;65.577,55C
12/04/2024;NOTA FISCAL Nº 3814655 ;3152;0424-00000448;;18,1;65.595,65C
12/04/2024;NOTA FISCAL Nº 3815564 ;5782;0424-00001233;;391,58;65.987,23C
12/04/2024;NOTA FISCAL Nº 3814755 ;5782;0424-00001236;;203,35;66.190,58C
12/04/2024;NOTA FISCAL Nº 3814856 ;5782;0424-00001240;;1.113,60;67.304,18C
12/04/2024;NOTA FISCAL Nº 3814731 ;5782;0424-00001254;;352,19;67.656,37C
12/04/2024;NOTA FISCAL Nº 3815563 ;5782;0424-00001274;;74,37;67.730,74C
12/04/2024;NOTA FISCAL Nº 3815463 ;5782;0424-00001322;;231,33;67.962,07C
12/04/2024;NOTA FISCAL Nº 3814656 ;5782;0424-00001330;;155,92;68.117,99C
12/04/2024;PAGAMENTO DUPLICATA Nº 3778972 ; ;0424-00004341;15,52;;68.102,47C
12/04/2024;PAGAMENTO DUPLICATA Nº 3778973 ; ;0424-00004343;17,02;;68.085,45C
12/04/2024;PAGAMENTO DUPLICATA Nº 3778933 ; ;0424-00004350;22,66;;68.062,79C
12/04/2024;PAGAMENTO DUPLICATA Nº 3740804 ; ;0424-00004351;22,7;;68.040,09C
12/04/2024;PAGAMENTO DUPLICATA Nº 3740806 ; ;0424-00004360;84,23;;67.955,86C
12/04/2024;PAGAMENTO DUPLICATA Nº 3780056 ; ;0424-00004361;258,07;;67.697,79C
12/04/2024;PAGAMENTO DUPLICATA Nº 3780033 ; ;0424-00004369;206,86;;67.490,93C
12/04/2024;PAGAMENTO DUPLICATA Nº 3778975 ; ;0424-00004383;185,26;;67.305,67C
12/04/2024;PAGAMENTO DUPLICATA Nº 3778970 ; ;0424-00004386;66,57;;67.239,10C
12/04/2024;PAGAMENTO DUPLICATA Nº 3778963 ; ;0424-00004401;96,75;;67.142,35C
12/04/2024;PAGAMENTO DUPLICATA Nº 3780057 ; ;0424-00004405;276,37;;66.865,98C
12/04/2024;PAGAMENTO DUPLICATA Nº 3778971 ; ;0424-00004418;148,94;;66.717,04C
12/04/2024;PAGAMENTO DUPLICATA Nº 3741535 ; ;0424-00004432;291,61;;66.425,43C
12/04/2024;PAGAMENTO DUPLICATA Nº 3780034 ; ;0424-00004443;437,3;;65.988,13C
12/04/2024;PAGAMENTO DUPLICATA Nº 3778982 ; ;0424-00004455;328,49;;65.659,64C
12/04/2024;PAGAMENTO DUPLICATA Nº 3778932 ; ;0424-00004469;531,03;;65.128,61C
12/04/2024;PAGAMENTO DUPLICATA Nº 3741534 ; ;0424-00004980;104,11;;65.024,50C
12/04/2024;PAGAMENTO DUPLICATA Nº 3740643 ; ;0424-00004982;129,24;;64.895,26C
12/04/2024;PAGAMENTO DUPLICATA Nº 3740626 ; ;0424-00004983;223,23;;64.672,03C
12/04/2024;PAGAMENTO DUPLICATA Nº 3740627 ; ;0424-00004984;258,46;;64.413,57C
13/04/2024;NOTA FISCAL Nº 3816293 ;3152;0424-00000449;;16,01;64.429,58C
13/04/2024;NOTA FISCAL Nº 3816420 ;3152;0424-00000450;;353,66;64.783,24C
13/04/2024;NOTA FISCAL Nº 3816734 ;3152;0424-00000451;;85,33;64.868,57C
13/04/2024;NOTA FISCAL Nº 3816737 ;3152;0424-00000452;;111,42;64.979,99C
13/04/2024;NOTA FISCAL Nº 3816621 ;3152;0424-00000453;;66,98;65.046,97C
13/04/2024;NOTA FISCAL Nº 3816555 ;3152;0424-00000454;;211,92;65.258,89C
13/04/2024;NOTA FISCAL Nº 3816735 ;3152;0424-00000455;;458,09;65.716,98C
13/04/2024;NOTA FISCAL Nº 3816738 ;3152;0424-00000456;;110,85;65.827,83C
13/04/2024;NOTA FISCAL Nº 3816550 ;3152;0424-00000457;;127,46;65.955,29C
13/04/2024;NOTA FISCAL Nº 3816549 ;3152;0424-00000458;;302,87;66.258,16C
13/04/2024;NOTA FISCAL Nº 3816554 ;5782;0424-00001258;;88,1;66.346,26C
13/04/2024;NOTA FISCAL Nº 3816611 ;5782;0424-00001270;;170,9;66.517,16C
13/04/2024;NOTA FISCAL Nº 3817526 ;5782;0424-00001272;;363,69;66.880,85C
13/04/2024;NOTA FISCAL Nº 3817525 ;5782;0424-00001286;;1.101,69;67.982,54C
13/04/2024;NOTA FISCAL Nº 3816430 ;5782;0424-00001287;;353,66;68.336,20C
13/04/2024;NOTA FISCAL Nº 3816608 ;5782;0424-00001292;;565,22;68.901,42C
13/04/2024;NOTA FISCAL Nº 3817984 ;5782;0424-00001304;;40,47;68.941,89C
13/04/2024;NOTA FISCAL Nº 3817523 ;5782;0424-00001305;;415,81;69.357,70C
13/04/2024;NOTA FISCAL Nº 3817595 ;5782;0424-00001313;;96,34;69.454,04C
13/04/2024;NOTA FISCAL Nº 3816429 ;5782;0424-00001314;;23,25;69.477,29C
13/04/2024;NOTA FISCAL Nº 3816609 ;5782;0424-00001359;;29,2;69.506,49C
14/04/2024;PAGAMENTO DUPLICATA Nº 3782046 ; ;0424-00004352;23,28;;69.483,21C
14/04/2024;PAGAMENTO DUPLICATA Nº 3741896 ; ;0424-00004356;30,58;;69.452,63C
14/04/2024;PAGAMENTO DUPLICATA Nº 3782069 ; ;0424-00004358;33,29;;69.419,34C
14/04/2024;PAGAMENTO DUPLICATA Nº 3782045 ; ;0424-00004359;33,29;;69.386,05C
14/04/2024;PAGAMENTO DUPLICATA Nº 3782310 ; ;0424-00004362;37,21;;69.348,84C
14/04/2024;PAGAMENTO DUPLICATA Nº 3742254 ; ;0424-00004364;39,54;;69.309,30C
14/04/2024;PAGAMENTO DUPLICATA Nº 3782006 ; ;0424-00004374;237,69;;69.071,61C
14/04/2024;PAGAMENTO DUPLICATA Nº 3707297 ; ;0424-00004381;60,6;;69.011,01C
14/04/2024;PAGAMENTO DUPLICATA Nº 3707156 ; ;0424-00004389;72,78;;68.938,23C
14/04/2024;PAGAMENTO DUPLICATA Nº 3783630 ; ;0424-00004391;74,9;;68.863,33C
14/04/2024;PAGAMENTO DUPLICATA Nº 3782550 ; ;0424-00004411;121,72;;68.741,61C
14/04/2024;PAGAMENTO DUPLICATA Nº 3741897 ; ;0424-00004450;302,12;;68.439,49C
14/04/2024;PAGAMENTO DUPLICATA Nº 3782464 ; ;0424-00004451;374,23;;68.065,26C
14/04/2024;PAGAMENTO DUPLICATA Nº 3782044 ; ;0424-00004453;323,22;;67.742,04C
14/04/2024;PAGAMENTO DUPLICATA Nº 3782068 ; ;0424-00004462;391,57;;67.350,47C
14/04/2024;PAGAMENTO DUPLICATA Nº 3782463 ; ;0424-00004466;453,13;;66.897,34C
14/04/2024;PAGAMENTO DUPLICATA Nº 3783631 ; ;0424-00004468;542,59;;66.354,75C
14/04/2024;PAGAMENTO DUPLICATA Nº 3783632 ; ;0424-00004476;1.125,02;;65.229,73C
14/04/2024;PAGAMENTO DUPLICATA Nº 3782462 ; ;0424-00005023;46,88;;65.182,85C
14/04/2024;PAGAMENTO DUPLICATA Nº 3782005 ; ;0424-00005025;80,71;;65.102,14C
14/04/2024;PAGAMENTO DUPLICATA Nº 3782421 ; ;0424-00005027;94,72;;65.007,42C
14/04/2024;PAGAMENTO DUPLICATA Nº 3783178 ; ;0424-00005028;98,77;;64.908,65C
14/04/2024;PAGAMENTO DUPLICATA Nº 3783627 ; ;0424-00005029;150,19;;64.758,46C
14/04/2024;PAGAMENTO DUPLICATA Nº 3782461 ; ;0424-00005030;297,46;;64.461,00C
14/04/2024;PAGAMENTO DUPLICATA Nº 3783628 ; ;0424-00005031;430,05;;64.030,95C
16/04/2024;NOTA FISCAL Nº 3817983 ;5782;0424-00001251;;639,21;64.670,16C
16/04/2024;NOTA FISCAL Nº 3817982 ;5782;0424-00001296;;2.438,67;67.108,83C
16/04/2024;NOTA FISCAL Nº 3817981 ;5782;0424-00001307;;73,25;67.182,08C
16/04/2024;PAGAMENTO DUPLICATA Nº 3745592 ; ;0424-00004431;209,31;;66.972,77C
17/04/2024;NOTA FISCAL Nº 3818764 ;3152;0424-00000459;;162,38;67.135,15C
17/04/2024;NOTA FISCAL Nº 3818763 ;3152;0424-00000460;;212,13;67.347,28C
17/04/2024;NOTA FISCAL Nº 3818733 ;3152;0424-00000461;;76,24;67.423,52C
17/04/2024;NOTA FISCAL Nº 3818355 ;3152;0424-00000462;;465,37;67.888,89C
17/04/2024;NOTA FISCAL Nº 3818732 ;3152;0424-00000463;;72,39;67.961,28C
17/04/2024;NOTA FISCAL Nº 3818784 ;5782;0424-00001268;;21,45;67.982,73C
17/04/2024;NOTA FISCAL Nº 3818437 ;5782;0424-00001269;;1.939,05;69.921,78C
17/04/2024;NOTA FISCAL Nº 3820454 ;5782;0424-00001271;;66,32;69.988,10C
17/04/2024;NOTA FISCAL Nº 3818783 ;5782;0424-00001324;;300,02;70.288,12C
17/04/2024;NOTA FISCAL Nº 3818644 ;5782;0424-00001336;;327,5;70.615,62C
17/04/2024;NOTA FISCAL Nº 3820453 ;5782;0424-00001339;;102,9;70.718,52C
17/04/2024;NOTA FISCAL Nº 3818405 ;5782;0424-00001346;;882,36;71.600,88C
17/04/2024;NOTA FISCAL Nº 3818782 ;5782;0424-00001364;;83,43;71.684,31C
17/04/2024;PAGAMENTO DUPLICATA Nº 3785287 ; ;0424-00004394;78,12;;71.606,19C
17/04/2024;PAGAMENTO DUPLICATA Nº 3785315 ; ;0424-00004434;231,5;;71.374,69C
17/04/2024;PAGAMENTO DUPLICATA Nº 3785316 ; ;0424-00004438;248,55;;71.126,14C
17/04/2024;PAGAMENTO DUPLICATA Nº 3785289 ; ;0424-00004477;1.061,53;;70.064,61C
17/04/2024;PAGAMENTO DUPLICATA Nº 3784525 ; ;0424-00005105;1,93;;70.062,68C
17/04/2024;PAGAMENTO DUPLICATA Nº 3784528 ; ;0424-00005106;15,43;;70.047,25C
17/04/2024;PAGAMENTO DUPLICATA Nº 3784527 ; ;0424-00005108;22,43;;70.024,82C
18/04/2024;NOTA FISCAL Nº 3821919 ;3152;0424-00000464;;138,67;70.163,49C
18/04/2024;NOTA FISCAL Nº 3821921 ;3152;0424-00000465;;136,54;70.300,03C
18/04/2024;NOTA FISCAL Nº 3821920 ;3152;0424-00000466;;76,23;70.376,26C
18/04/2024;NOTA FISCAL Nº 3821923 ;3152;0424-00000467;;119,92;70.496,18C
18/04/2024;NOTA FISCAL Nº 3821892 ;5782;0424-00001281;;61,55;70.557,73C
18/04/2024;NOTA FISCAL Nº 3821860 ;5782;0424-00001284;;543,06;71.100,79C
18/04/2024;NOTA FISCAL Nº 3821862 ;5782;0424-00001309;;42,98;71.143,77C
18/04/2024;NOTA FISCAL Nº 3821858 ;5782;0424-00001338;;78,81;71.222,58C
18/04/2024;NOTA FISCAL Nº 3821861 ;5782;0424-00001347;;232,34;71.454,92C
18/04/2024;NOTA FISCAL Nº 3821891 ;5782;0424-00001349;;315,19;71.770,11C
18/04/2024;NOTA FISCAL Nº 3821859 ;5782;0424-00001370;;628;72.398,11C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786030 ; ;0424-00005211;21;;72.377,11C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786087 ; ;0424-00005212;23,61;;72.353,50C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786045 ; ;0424-00005213;23,82;;72.329,68C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786089 ; ;0424-00005215;33,29;;72.296,39C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786078 ; ;0424-00005217;49,39;;72.247,00C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786031 ; ;0424-00005218;49,86;;72.197,14C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786057 ; ;0424-00005219;54,37;;72.142,77C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786077 ; ;0424-00005220;56,74;;72.086,03C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786083 ; ;0424-00005221;57,26;;72.028,77C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786036 ; ;0424-00005222;70,01;;71.958,76C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786085 ; ;0424-00005223;100,93;;71.857,83C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786069 ; ;0424-00005224;104;;71.753,83C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786084 ; ;0424-00005225;142,93;;71.610,90C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786081 ; ;0424-00005227;148,09;;71.462,81C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786044 ; ;0424-00005228;152,06;;71.310,75C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786088 ; ;0424-00005229;165,29;;71.145,46C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786100 ; ;0424-00005232;337,29;;70.808,17C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786080 ; ;0424-00005233;350,3;;70.457,87C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786086 ; ;0424-00005234;361,68;;70.096,19C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786046 ; ;0424-00005235;394,24;;69.701,95C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786041 ; ;0424-00005236;427,1;;69.274,85C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786048 ; ;0424-00005240;685,92;;68.588,93C
18/04/2024;PAGAMENTO DUPLICATA Nº 3786049 ; ;0424-00005245;1.371,84;;67.217,09C
19/04/2024;PAGAMENTO DUPLICATA Nº 3787710 ; ;0424-00004345;18,15;;67.198,94C
19/04/2024;PAGAMENTO DUPLICATA Nº 3787676 ; ;0424-00004398;94,03;;67.104,91C
19/04/2024;PAGAMENTO DUPLICATA Nº 3747167 ; ;0424-00004406;104,65;;67.000,26C
19/04/2024;PAGAMENTO DUPLICATA Nº 3787672 ; ;0424-00004414;188,13;;66.812,13C
19/04/2024;PAGAMENTO DUPLICATA Nº 3747241 ; ;0424-00004435;226,31;;66.585,82C
19/04/2024;PAGAMENTO DUPLICATA Nº 3787723 ; ;0424-00004461;539,72;;66.046,10C
19/04/2024;PAGAMENTO DUPLICATA Nº 3787724 ; ;0424-00004465;420,23;;65.625,87C
20/04/2024;PAGAMENTO DUPLICATA Nº 3749469 ; ;0424-00004479;276,53;;65.349,34C
21/04/2024;PAGAMENTO DUPLICATA Nº 3790714 ; ;0424-00004376;56,53;;65.292,81C
21/04/2024;PAGAMENTO DUPLICATA Nº 3792423 ; ;0424-00004457;331,4;;64.961,41C
21/04/2024;PAGAMENTO DUPLICATA Nº 3791004 ; ;0424-00004472;792,25;;64.169,16C
21/04/2024;PAGAMENTO DUPLICATA Nº 3792192 ; ;0424-00004474;800,11;;63.369,05C
21/04/2024;PAGAMENTO DUPLICATA Nº 3792422 ; ;0424-00004481;2.359,66;;61.009,39C
21/04/2024;PAGAMENTO DUPLICATA Nº 3792194 ; ;0424-00005291;7,99;;61.001,40C
21/04/2024;PAGAMENTO DUPLICATA Nº 3751517 ; ;0424-00005292;14,64;;60.986,76C
21/04/2024;PAGAMENTO DUPLICATA Nº 3792420 ; ;0424-00005294;33,88;;60.952,88C
21/04/2024;PAGAMENTO DUPLICATA Nº 3792198 ; ;0424-00005296;90,72;;60.862,16C
22/04/2024;NOTA FISCAL Nº 3821962 ;3152;0424-00000468;;26,1;60.888,26C
22/04/2024;NOTA FISCAL Nº 3821959 ;3152;0424-00000469;;156,43;61.044,69C
22/04/2024;NOTA FISCAL Nº 3821961 ;3152;0424-00000470;;60,47;61.105,16C
22/04/2024;NOTA FISCAL Nº 3822128 ;3152;0424-00000471;;108,02;61.213,18C
22/04/2024;NOTA FISCAL Nº 3821960 ;3152;0424-00000472;;89,5;61.302,68C
22/04/2024;NOTA FISCAL Nº 3822105 ;3152;0424-00000473;;66,49;61.369,17C
22/04/2024;NOTA FISCAL Nº 3823495 ;3152;0424-00000474;;246,95;61.616,12C
22/04/2024;NOTA FISCAL Nº 3825168 ;3152;0424-00000475;;30,83;61.646,95C
22/04/2024;NOTA FISCAL Nº 3825270 ;3152;0424-00000476;;112,36;61.759,31C
22/04/2024;NOTA FISCAL Nº 3825269 ;3152;0424-00000477;;79,43;61.838,74C
22/04/2024;NOTA FISCAL Nº 3823247 ;3152;0424-00000478;;292,31;62.131,05C
22/04/2024;NOTA FISCAL Nº 3823246 ;3152;0424-00000479;;146,31;62.277,36C
22/04/2024;NOTA FISCAL Nº 3825271 ;3152;0424-00000513;;8,35;62.285,71C
22/04/2024;NOTA FISCAL Nº 3825211 ;5782;0424-00001230;;30,84;62.316,55C
22/04/2024;NOTA FISCAL Nº 3821969 ;5782;0424-00001235;;92,07;62.408,62C
22/04/2024;NOTA FISCAL Nº 3823241 ;5782;0424-00001239;;243,98;62.652,60C
22/04/2024;NOTA FISCAL Nº 3822188 ;5782;0424-00001246;;671,7;63.324,30C
22/04/2024;NOTA FISCAL Nº 3822189 ;5782;0424-00001249;;86,53;63.410,83C
22/04/2024;NOTA FISCAL Nº 3821965 ;5782;0424-00001253;;54,07;63.464,90C
22/04/2024;NOTA FISCAL Nº 3822126 ;5782;0424-00001262;;1.002,24;64.467,14C
22/04/2024;NOTA FISCAL Nº 3825210 ;5782;0424-00001275;;594,19;65.061,33C
22/04/2024;NOTA FISCAL Nº 3825275 ;5782;0424-00001276;;132,38;65.193,71C
22/04/2024;NOTA FISCAL Nº 3822187 ;5782;0424-00001290;;15,25;65.208,96C
22/04/2024;NOTA FISCAL Nº 3821966 ;5782;0424-00001323;;445,63;65.654,59C
22/04/2024;NOTA FISCAL Nº 3822127 ;5782;0424-00001333;;36,25;65.690,84C
22/04/2024;NOTA FISCAL Nº 3825276 ;5782;0424-00001342;;54,74;65.745,58C
22/04/2024;NOTA FISCAL Nº 3824950 ;5782;0424-00001344;;437,49;66.183,07C
22/04/2024;NOTA FISCAL Nº 3825212 ;5782;0424-00001358;;222,31;66.405,38C
22/04/2024;NOTA FISCAL Nº 3821967 ;5782;0424-00001361;;225,59;66.630,97C
22/04/2024;NOTA FISCAL Nº 3821968 ;5782;0424-00001371;;31,94;66.662,91C
22/04/2024;PAGAMENTO DUPLICATA Nº 3717181 ; ;0424-00004332;9,16;;66.653,75C
22/04/2024;PAGAMENTO DUPLICATA Nº 3717180 ; ;0424-00004347;18,76;;66.634,99C
22/04/2024;PAGAMENTO DUPLICATA Nº 3752751 ; ;0424-00004349;22,25;;66.612,74C
22/04/2024;PAGAMENTO DUPLICATA Nº 3753475 ; ;0424-00004365;40,23;;66.572,51C
22/04/2024;PAGAMENTO DUPLICATA Nº 3753503 ; ;0424-00004413;129,35;;66.443,16C
22/04/2024;PAGAMENTO DUPLICATA Nº 3752720 ; ;0424-00004415;137,11;;66.306,05C
22/04/2024;PAGAMENTO DUPLICATA Nº 3752717 ; ;0424-00005323;87,28;;66.218,77C
22/04/2024;PAGAMENTO DUPLICATA Nº 3752716 ; ;0424-00005325;129,24;;66.089,53C
23/04/2024;NOTA FISCAL Nº 3826694 ;3152;0424-00000480;;57,45;66.146,98C
23/04/2024;NOTA FISCAL Nº 3826693 ;3152;0424-00000481;;319,91;66.466,89C
23/04/2024;NOTA FISCAL Nº 3826325 ;3152;0424-00000482;;484,98;66.951,87C
23/04/2024;NOTA FISCAL Nº 3826264 ;3152;0424-00000483;;83,47;67.035,34C
23/04/2024;NOTA FISCAL Nº 3826642 ;3152;0424-00000484;;133,34;67.168,68C
23/04/2024;NOTA FISCAL Nº 3826643 ;3152;0424-00000485;;30,56;67.199,24C
23/04/2024;NOTA FISCAL Nº 3826643 ;3152;0424-00000514;;21,95;67.221,19C
23/04/2024;NOTA FISCAL Nº 3826520 ;5782;0424-00001245;;14,44;67.235,63C
23/04/2024;NOTA FISCAL Nº 3826375 ;5782;0424-00001247;;748,08;67.983,71C
23/04/2024;NOTA FISCAL Nº 3826521 ;5782;0424-00001283;;124,48;68.108,19C
23/04/2024;NOTA FISCAL Nº 3826236 ;5782;0424-00001294;;303,67;68.411,86C
23/04/2024;NOTA FISCAL Nº 3826237 ;5782;0424-00001300;;513,5;68.925,36C
23/04/2024;NOTA FISCAL Nº 3826324 ;5782;0424-00001315;;65,03;68.990,39C
23/04/2024;NOTA FISCAL Nº 3826330 ;5782;0424-00001326;;317,03;69.307,42C
23/04/2024;NOTA FISCAL Nº 3826708 ;5782;0424-00001343;;56,18;69.363,60C
23/04/2024;NOTA FISCAL Nº 3826707 ;5782;0424-00001354;;497,15;69.860,75C
23/04/2024;NOTA FISCAL Nº 3826520 ;5782;0424-00001368;;45,09;69.905,84C
23/04/2024;PAGAMENTO DUPLICATA Nº 3754763 ; ;0424-00004478;251,07;;69.654,77C
